id,preferred_name,alternative_names,category,description
http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,administrative,administrative assistant|administrative assistant communications|assistant|assistant communications|assistant communications assistant,technical,"They perform a variety of tasks, such as answering telephone calls, receiving and directing visitors, ordering office supplies, maintaining the office facilities running smoothly, and ensuring that equipment and appliances work properly."
http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b,coffee,coffee grinder|coffee grinder grinding|grinder|grinder grinding|grinder grinding machine,general,
http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498,medical,medical administrative|medical administrative assistant|administrative|administrative assistant|administrative assistant health,general,"They provide office support such as correspondence, fixing appointments and answering queries of patients."
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT,ICT security|ICT security administrator|security|security administrator|security administrator system,general,
http://data.europa.eu/esco/occupation/046574a1-9bb3-4a80-8a7b-83dc7db1dae2,bricklaying,bricklaying supervisor|bricklaying supervisor bricklayer|supervisor|supervisor bricklayer|supervisor bricklayer supervisor,general,They assign tasks and take quick decisions to resolve problems.
http://data.europa.eu/esco/occupation/047108c3-f987-40a4-bef0-f2b3407ec16a,medical,medical physics|medical physics expert|physics|physics expert|physics expert medical,technical,"They are responsible for dosimetry and the optimisation of the radiation protection of patients and other individuals subjected to medical exposure, including the application and use of diagnostic reference levels.  Medical physics experts are involved in the selection of medical radiological equipment, the quality assurance including acceptance testing, the preparation of technical specifications, and the installation, design and surveillance of the medical radiological installations.  They also analyse the events involving accidental or unintended medical exposures and are responsible for the training of practitioners and other staff in relevant aspects of radiation protection."
http://data.europa.eu/esco/occupation/0477b9b0-8d2d-4eec-aaad-bac11092e98b,slate,slate mixer|slate mixer slate|mixer|mixer slate|mixer slate mixing,general,
http://data.europa.eu/esco/occupation/04849c5c-9236-4a75-aabb-11c6d03e459c,marine,marine engineering|marine engineering technician|engineering|engineering technician|engineering technician yacht,general,"They also conduct experiments, collect and analyse data and report their findings."
http://data.europa.eu/esco/occupation/04b52c04-0620-4558-8f89-e252de2963ff,auction,auction house|auction house manager|house|house manager|house manager auctioneer,general,"Moreover, they manage the finances and marketing aspects of the auction house."
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software,software analyst|software analyst software|analyst|analyst software|analyst software requirement,programming,They act as the interface between the software users and the software development team.
http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,accounting,accounting manager|accounting manager accounting|manager|manager accounting|manager accounting office,general,"They develop and maintain accounting principles and procedures to ensure timely and accurate financial statements, supervise accounting staff and manage the accounting activities within the appropriate time frame and budget."
http://data.europa.eu/esco/occupation/0552ff45-b282-455c-b431-fb05a0e00801,foundry,foundry manager|foundry manager process|manager|manager process|manager process manager,general,They also partner with ongoing remediation initiatives.
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement,procurement category|procurement category specialist|category|category specialist|category specialist procurement,general,They help internal or external clients to increase value for money and end users' satisfaction through their advanced knowledge of the suppliers and their offering.
http://data.europa.eu/esco/occupation/056bef79-c125-47ab-b6b9-8eed05c9458c,telecommunications,telecommunications technician|telecommunications technician telecommunications|technician|technician telecommunications|technician telecommunications systems,technical,They repair or replace defective devices and equipment and maintain a safe working environment and a complete inventory of supplies.  They also provide user or customer assistance.
http://data.europa.eu/esco/occupation/056f1849-7ff8-4d6f-9b8a-176a610bba44,promotions,promotions demonstrator|promotions demonstrator filling|demonstrator|demonstrator filling|demonstrator filling station,general,They provide product specific advice and demonstrate promotional goods or services.
http://data.europa.eu/esco/occupation/0599d0e7-398f-464b-97bb-427686f27d50,maritime,maritime instructor|maritime instructor boating|instructor|instructor boating|instructor boating instructor,general,"They teach their students theory and techniques on how to optimally pilot, steer and navigate, and maintain their specific boat or ship, observe and evaluate the students' practice.  They also focus on non-steering related subjects such as customer service (in case of person transportation) and safety measure regulations."
http://data.europa.eu/esco/occupation/05a06850-d465-481e-9d68-792d4ad1da3e,foreign,foreign exchange|foreign exchange trader|exchange|exchange trader|exchange trader foreign,technical,They undertake technical analysis of economic information (market liquidity and volatility ) to predict the future rates of currencies on the foreign exchange market.  They trade on their own name or for their employers.
